Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
BeeLine.java,0,1,1,1
DbNotificationListener.java,1,0,1,1
DummyRawStoreControlledCommit.java,5,0,1,1
DummyRawStoreFailEvent.java,5,0,1,1
DummyRawStoreForJdoConnection.java,5,0,1,1
HBaseStore.java,5,0,1,1
Hadoop23Shims.java,24,15,1,1
HiveMetaStore.java,27,23,3,3
HiveMetaStoreClient.java,27,0,2,2
HiveSemanticAnalyzerHookContextImpl.java,1,0,1,1
IMetaStoreClient.java,51,1,1,1
MetaStoreEventListenerConstants.java,41,33,2,1
MetaStoreListenerNotifier.java,14,1,1,1
ObjectStore.java,121,435,2,2
PrimitiveObjectInspectorUtils.java,13,3,1,1
RawStore.java,2,0,1,1
SemanticAnalyzer.java,2,2,1,1
SessionHiveMetaStoreClient.java,13,0,1,1
SparkClientImpl.java,19,16,1,1
TestDbNotificationListener.java,1,0,1,1
TestHCatClient.java,1,1,1,1
TestHiveMetaStore.java,49,0,1,1
TestHs2Hooks.java,36,0,1,1
TestObjectStore.java,19,0,2,2
ZooKeeperHiveLockManager.java,26,13,1,1
