Name,LinesAdded,LinesDeleted,CommitCount,DeveloperCount
AcidInputFormat.java,5,0,1,1
Context.java,15,0,1,1
ConvertAstToSearchArg.java,71,5,1,1
CookieSigner.java,1,1,1,1
Driver.java,1,0,1,1
EncodedReaderImpl.java,5,2,1,1
HiveConf.java,3,0,1,1
HiveSemanticAnalyzerHookContext.java,5,0,1,1
HiveSemanticAnalyzerHookContextImpl.java,12,0,1,1
OrcInputFormat.java,39,28,2,1
OrcSplit.java,1,1,1,1
ParseDriver.java,7,3,1,1
ParseUtils.java,3,3,1,1
SQLStdHiveAuthorizationValidatorForTest.java,12,0,1,1
SemanticAnalyzer.java,35,15,1,1
TableMask.java,3,3,1,1
TestHs2Hooks.java,17,10,1,1
TestHs2HooksWithMiniKdc.java,15,13,1,1
TestInputOutputFormat.java,8,8,1,1
TestTxnCommands2.java,135,0,1,1
